order_item_id,order_id,product_id,quantity,unit_price,unit_cost,item_discount,item_total,was_substituted,was_available_at_checkout
36,18,488,1,53.0,39.84,0.0,53.0,False,True
37,18,450,1,644.0,457.96,0.0,644.0,False,True
38,19,456,2,463.0,320.32,0.0,926.0,False,True
39,20,365,1,31.0,23.39,0.0,31.0,False,True
40,20,330,1,70.0,54.1,0.0,70.0,False,True
41,21,487,1,36.0,23.07,0.0,36.0,False,True
42,21,258,1,408.0,267.47,0.0,408.0,False,True
43,22,286,1,181.0,127.36,0.0,181.0,False,True
44,22,275,1,21.0,16.11,0.0,21.0,False,True
45,22,123,1,487.0,377.01,0.0,487.0,False,True
46,23,568,1,199.0,129.74,0.0,199.0,False,True
47,23,579,1,132.0,88.52,0.0,132.0,False,True
48,24,470,1,356.0,274.67,0.0,356.0,False,True
49,24,207,1,132.0,98.91,0.0,132.0,False,True
50,25,408,1,123.0,95.47,0.0,123.0,False,True
51,25,77,1,41.0,26.37,0.0,41.0,False,True
52,25,415,1,406.0,243.83,0.0,406.0,False,True
53,25,81,1,32.0,20.01,0.0,32.0,False,True
54,26,231,1,180.0,129.86,0.0,180.0,False,True
55,26,518,2,26.0,15.93,0.0,52.0,False,True
56,27,1,1,134.0,94.96,0.0,134.0,False,True
57,28,507,1,88.0,65.01,0.0,88.0,False,True
58,28,246,1,17.0,11.58,0.0,17.0,False,True
59,28,209,1,233.0,153.41,0.0,233.0,False,True
60,29,450,1,644.0,465.27,0.0,644.0,False,True
61,30,176,1,29.0,20.01,0.0,29.0,False,True
62,30,524,1,309.0,179.43,0.0,309.0,False,True
63,30,131,1,71.0,47.33,0.0,71.0,False,True
64,31,257,1,41.0,26.19,0.0,41.0,False,True
65,31,417,2,436.0,256.75,0.0,872.0,False,True
66,32,54,1,115.0,88.29,0.0,115.0,False,True
67,33,344,1,139.0,97.59,0.0,139.0,False,True
68,33,507,1,88.0,65.34,0.0,88.0,False,True
69,33,124,1,534.0,325.4,0.0,534.0,False,True
70,34,351,2,425.0,261.67,0.0,850.0,False,True
71,34,410,1,29.0,21.76,0.0,29.0,False,True
72,35,510,1,46.0,33.74,0.0,46.0,False,True
73,35,360,1,31.0,18.87,0.0,31.0,False,True
74,35,230,1,343.0,204.74,0.0,343.0,False,True
75,35,435,2,13.0,8.27,0.0,26.0,False,True
76,36,526,2,134.0,93.36,0.0,268.0,False,True
77,36,406,1,333.0,253.45,0.0,333.0,False,True
78,37,209,1,233.0,174.11,0.0,233.0,False,True
79,38,258,1,408.0,292.89,0.0,408.0,False,True
80,39,423,1,26.0,16.37,0.0,26.0,False,True
81,39,70,1,251.0,145.81,0.0,251.0,False,True
82,39,455,1,303.0,198.42,0.0,303.0,False,True
83,40,596,1,337.0,240.18,0.0,337.0,False,True
84,41,101,2,233.0,172.55,0.0,466.0,False,True
85,42,568,1,199.0,130.84,0.0,199.0,False,True
86,43,595,1,109.0,77.4,0.0,109.0,False,True
87,44,596,1,337.0,244.23,0.0,337.0,False,True
88,45,177,1,43.0,26.01,0.0,43.0,False,True
89,45,579,1,132.0,78.14,0.0,132.0,False,True
90,46,558,1,150.0,105.98,0.0,150.0,False,True
91,47,46,1,146.0,93.38,0.0,146.0,False,True
92,47,158,1,30.0,21.38,0.0,30.0,False,True
93,48,341,1,51.0,33.61,0.0,51.0,False,True
94,48,445,1,53.0,39.47,0.0,53.0,False,True
95,48,292,1,48.0,36.15,0.0,48.0,False,True
96,49,389,1,263.0,155.99,0.0,263.0,False,True
97,49,454,1,74.0,45.04,0.0,74.0,True,True
98,49,400,1,40.0,24.27,0.0,40.0,False,True
99,50,433,2,31.0,21.19,0.0,62.0,False,True
100,50,342,1,112.0,65.87,0.0,112.0,False,True
