session_id,user_id,session_started_at,session_ended_at,platform,app_version,device_type,network_type,city,store_id
106564,44065,2026-01-01 10:54:26+00:00,2026-01-01 11:03:09+00:00,Android,5.6.0,Android mid,4G,Mumbai,8.0
171576,71050,2026-01-01 10:56:22+00:00,2026-01-01 10:58:45+00:00,Android,5.6.0,Android mid,4G,Bengaluru,1.0
151452,62642,2026-01-01 10:56:38+00:00,2026-01-01 11:00:35+00:00,Android,5.6.0,Android mid,4G,Mumbai,8.0
160801,66577,2026-01-01 10:59:03+00:00,2026-01-01 11:01:00+00:00,Android,5.6.0,Android mid,4G,Delhi NCR,4.0
22355,9270,2026-01-01 11:00:54+00:00,2026-01-01 11:03:39+00:00,Android,5.6.0,Android low,4G,Bengaluru,2.0
179108,74159,2026-01-01 11:01:33+00:00,2026-01-01 11:05:13+00:00,iOS,5.6.0,iPhone,4G,Pune,14.0
185987,77019,2026-01-01 11:01:53+00:00,2026-01-01 11:04:22+00:00,iOS,5.6.0,iPhone,5G,Mumbai,8.0
185373,76761,2026-01-01 11:06:31+00:00,2026-01-01 11:14:09+00:00,Android,5.6.0,Android low,4G,Delhi NCR,4.0
160498,66450,2026-01-01 11:09:52+00:00,2026-01-01 11:11:22+00:00,iOS,5.6.0,iPhone,4G,Hyderabad,10.0
34472,14295,2026-01-01 11:11:18+00:00,2026-01-01 11:14:11+00:00,Android,5.6.0,Android low,Wi-Fi,Delhi NCR,5.0
161876,67045,2026-01-01 11:15:22+00:00,2026-01-01 11:18:42+00:00,Android,5.6.0,Android low,4G,Bengaluru,3.0
98658,40809,2026-01-01 11:16:35+00:00,2026-01-01 11:20:38+00:00,Android,5.6.0,Android high,Wi-Fi,Mumbai,8.0
92673,38310,2026-01-01 11:19:30+00:00,2026-01-01 11:23:58+00:00,Android,5.6.0,Android high,5G,Pune,15.0
121820,50360,2026-01-01 11:20:07+00:00,2026-01-01 11:22:53+00:00,Android,5.6.0,Android high,4G,Bengaluru,3.0
135802,56190,2026-01-01 11:20:36+00:00,2026-01-01 11:23:51+00:00,Android,5.6.0,Android high,4G,Hyderabad,12.0
12900,5396,2026-01-01 11:22:55+00:00,2026-01-01 11:24:38+00:00,Android,5.6.0,Android mid,4G,Delhi NCR,4.0
9699,4073,2026-01-01 11:28:48+00:00,2026-01-01 11:30:20+00:00,Android,5.6.0,Android low,Wi-Fi,Mumbai,9.0
141064,58373,2026-01-01 11:29:29+00:00,2026-01-01 11:31:20+00:00,iOS,5.6.0,iPhone,4G,Delhi NCR,5.0
190487,78861,2026-01-01 11:32:15+00:00,2026-01-01 11:36:41+00:00,Android,5.6.0,Android mid,4G,Hyderabad,10.0
26164,10843,2026-01-01 11:33:24+00:00,2026-01-01 11:36:33+00:00,Android,5.6.0,Android mid,4G,Bengaluru,1.0
47690,19761,2026-01-01 11:40:06+00:00,2026-01-01 11:45:59+00:00,Android,5.6.0,Android low,4G,Bengaluru,1.0
151012,62461,2026-01-01 11:45:11+00:00,2026-01-01 11:49:29+00:00,Android,5.6.0,Android low,4G,Hyderabad,10.0
27730,11506,2026-01-01 11:59:46+00:00,2026-01-01 12:06:05+00:00,Android,5.6.0,Android mid,4G,Delhi NCR,6.0
80917,33434,2026-01-01 12:04:08+00:00,2026-01-01 12:05:49+00:00,Android,5.6.0,Android mid,4G,Bengaluru,2.0
43160,17874,2026-01-01 12:04:40+00:00,2026-01-01 12:11:24+00:00,iOS,5.6.0,iPhone,4G,Hyderabad,12.0
5869,2456,2026-01-01 12:04:46+00:00,2026-01-01 12:09:51+00:00,iOS,5.6.0,iPhone,4G,Pune,15.0
27501,11409,2026-01-01 12:07:05+00:00,2026-01-01 12:12:58+00:00,Android,5.6.0,Android mid,Wi-Fi,Bengaluru,3.0
7810,3274,2026-01-01 12:15:46+00:00,2026-01-01 12:20:39+00:00,iOS,5.6.0,iPhone,Wi-Fi,Delhi NCR,4.0
105763,43726,2026-01-01 12:16:42+00:00,2026-01-01 12:21:15+00:00,Android,5.6.0,Android low,Wi-Fi,Mumbai,9.0
118614,49061,2026-01-01 12:19:30+00:00,2026-01-01 12:22:33+00:00,Android,5.6.0,Android low,4G,Hyderabad,11.0
160417,66411,2026-01-01 12:20:07+00:00,2026-01-01 12:21:43+00:00,iOS,5.6.0,iPhone,4G,Delhi NCR,5.0
119873,49575,2026-01-01 12:22:59+00:00,2026-01-01 12:31:49+00:00,Android,5.6.0,Android high,4G,Bengaluru,2.0
14637,6110,2026-01-01 12:27:43+00:00,2026-01-01 12:31:17+00:00,Android,5.6.0,Android low,Wi-Fi,Hyderabad,10.0
82093,33916,2026-01-01 12:29:16+00:00,2026-01-01 12:30:59+00:00,Android,5.6.0,Android mid,Wi-Fi,Bengaluru,1.0
85377,35274,2026-01-01 12:30:09+00:00,2026-01-01 12:33:00+00:00,Android,5.6.0,Android low,4G,Delhi NCR,4.0
148477,61412,2026-01-01 12:31:31+00:00,2026-01-01 12:36:26+00:00,Android,5.6.0,Android mid,4G,Bengaluru,3.0
149800,61948,2026-01-01 12:34:27+00:00,2026-01-01 12:38:59+00:00,Android,5.6.0,Android mid,4G,Mumbai,8.0
55429,22927,2026-01-01 12:38:17+00:00,2026-01-01 12:39:47+00:00,Android,5.6.0,Android low,5G,Delhi NCR,4.0
171336,70942,2026-01-01 12:41:29+00:00,2026-01-01 12:44:43+00:00,Android,5.6.0,Android low,4G,Mumbai,8.0
