order_id,checkout_id,user_id,store_id,order_placed_at,confirmed_at,delivered_at,cancelled_at,final_status,item_count,subtotal,delivery_fee,handling_fee,discount_amount,order_value,refund_amount,refund_status,fulfillment_cost,payment_processing_cost,cancellation_actor,cancellation_reason
25,41,62444,4.0,2026-01-01 18:42:07+00:00,2026-01-01 18:43:07+00:00,2026-01-01 19:10:07+00:00,,delivered,4,602.0,0.0,0.0,0.0,602.0,0.0,none,36.38,7.22,,
26,42,77911,12.0,2026-01-01 18:49:34+00:00,2026-01-01 18:52:34+00:00,2026-01-01 19:24:34+00:00,,delivered,3,232.0,0.0,5.0,0.0,237.0,0.0,none,42.33,2.84,,
27,43,61762,4.0,2026-01-01 19:19:10+00:00,2026-01-01 19:20:10+00:00,2026-01-01 19:30:10+00:00,,delivered,1,134.0,25.0,5.0,0.0,164.0,0.0,none,28.36,1.97,,
28,44,8864,4.0,2026-01-01 19:20:32+00:00,2026-01-01 19:21:32+00:00,2026-01-01 19:41:32+00:00,,delivered,3,338.0,0.0,5.0,0.0,343.0,0.0,none,44.01,4.12,,
29,45,7442,13.0,2026-01-01 20:02:16+00:00,2026-01-01 20:03:16+00:00,2026-01-01 20:21:16+00:00,,delivered,1,644.0,0.0,0.0,0.0,644.0,0.0,none,42.81,7.73,,
30,46,1518,5.0,2026-01-01 20:14:57+00:00,2026-01-01 20:15:57+00:00,2026-01-01 20:44:57+00:00,,delivered,3,409.0,0.0,0.0,30.0,379.0,0.0,none,41.03,4.55,,
31,48,37996,2.0,2026-01-01 20:58:14+00:00,2026-01-01 20:59:14+00:00,2026-01-01 21:14:14+00:00,,delivered,3,913.0,0.0,0.0,0.0,913.0,0.0,none,37.45,10.96,,
32,49,70087,3.0,2026-01-01 21:16:09+00:00,2026-01-01 21:18:09+00:00,2026-01-01 21:49:09+00:00,,delivered,1,115.0,25.0,5.0,0.0,145.0,0.0,none,34.55,0.87,,
33,50,29228,8.0,2026-01-01 21:46:39+00:00,2026-01-01 21:49:39+00:00,2026-01-01 21:58:39+00:00,,delivered,3,761.0,0.0,0.0,0.0,761.0,0.0,none,50.69,4.57,,
34,51,53546,1.0,2026-01-01 21:49:08+00:00,2026-01-01 21:50:08+00:00,2026-01-01 22:18:08+00:00,,delivered,3,879.0,0.0,0.0,30.0,849.0,0.0,none,53.26,10.19,,
35,54,38325,11.0,2026-01-01 22:13:12+00:00,2026-01-01 22:14:12+00:00,2026-01-01 22:40:12+00:00,,delivered,5,446.0,0.0,0.0,0.0,446.0,0.0,none,41.51,5.35,,
36,60,51346,7.0,2026-01-02 10:00:59+00:00,2026-01-02 10:02:59+00:00,2026-01-02 10:41:59+00:00,,delivered,3,601.0,0.0,0.0,30.0,571.0,0.0,none,41.29,3.43,,
37,61,58965,6.0,2026-01-02 10:02:55+00:00,2026-01-02 10:04:55+00:00,2026-01-02 10:24:55+00:00,,delivered,1,233.0,0.0,5.0,0.0,238.0,0.0,none,26.64,1.43,,
38,63,8368,13.0,2026-01-02 10:08:56+00:00,2026-01-02 10:11:56+00:00,2026-01-02 10:25:56+00:00,,delivered,1,408.0,0.0,0.0,0.0,408.0,0.0,none,37.62,2.45,,
39,64,78470,15.0,2026-01-02 10:34:14+00:00,2026-01-02 10:36:14+00:00,2026-01-02 10:48:14+00:00,,delivered,3,580.0,0.0,0.0,30.0,550.0,0.0,none,36.49,3.3,,
40,65,20295,5.0,2026-01-02 10:55:31+00:00,2026-01-02 10:58:31+00:00,2026-01-02 11:07:31+00:00,,delivered,1,337.0,0.0,5.0,0.0,342.0,0.0,none,49.34,4.1,,
41,66,61961,9.0,2026-01-02 11:01:14+00:00,2026-01-02 11:03:14+00:00,2026-01-02 11:38:14+00:00,,delivered,2,466.0,0.0,0.0,0.0,466.0,0.0,none,55.1,2.8,,
42,67,41925,13.0,2026-01-02 11:42:35+00:00,2026-01-02 11:45:35+00:00,2026-01-02 12:16:35+00:00,,delivered,1,199.0,0.0,5.0,0.0,204.0,0.0,none,38.33,1.22,,
43,68,67045,1.0,2026-01-02 11:44:16+00:00,2026-01-02 11:47:16+00:00,2026-01-02 11:54:16+00:00,,delivered,1,109.0,25.0,5.0,0.0,139.0,0.0,none,45.92,1.67,,
44,70,40469,6.0,2026-01-02 12:12:49+00:00,2026-01-02 12:13:49+00:00,2026-01-02 12:31:49+00:00,,delivered,1,337.0,0.0,5.0,30.0,312.0,0.0,none,34.18,3.74,,
45,71,10296,6.0,2026-01-02 12:24:30+00:00,2026-01-02 12:25:30+00:00,2026-01-02 12:46:30+00:00,,delivered,2,175.0,25.0,5.0,0.0,205.0,0.0,none,37.11,2.46,,
46,73,28329,8.0,2026-01-02 13:19:16+00:00,2026-01-02 13:22:16+00:00,,,delivery_failed,1,150.0,25.0,5.0,0.0,180.0,0.0,none,41.47,2.16,,
47,76,40536,6.0,2026-01-02 13:54:40+00:00,2026-01-02 13:56:40+00:00,2026-01-02 14:06:40+00:00,,delivered,2,176.0,25.0,5.0,0.0,206.0,0.0,none,37.6,1.24,,
48,78,34094,3.0,2026-01-02 15:15:03+00:00,2026-01-02 15:16:03+00:00,2026-01-02 15:33:03+00:00,,delivered,3,152.0,25.0,5.0,0.0,182.0,0.0,none,43.2,1.09,,
49,80,52750,6.0,2026-01-02 15:37:16+00:00,2026-01-02 15:38:16+00:00,,,delivery_failed,3,377.0,0.0,5.0,0.0,382.0,0.0,none,61.14,2.29,,
50,81,49821,13.0,2026-01-02 15:57:34+00:00,2026-01-02 15:58:34+00:00,2026-01-02 16:19:34+00:00,,delivered,4,231.0,0.0,5.0,0.0,236.0,0.0,none,34.66,1.42,,
51,82,79163,13.0,2026-01-02 16:02:30+00:00,2026-01-02 16:03:30+00:00,2026-01-02 16:12:30+00:00,,delivered,3,346.0,0.0,5.0,0.0,351.0,0.0,none,36.92,4.21,,
52,83,31207,5.0,2026-01-02 16:33:58+00:00,2026-01-02 16:35:58+00:00,2026-01-02 16:47:58+00:00,,delivered,3,257.0,0.0,5.0,0.0,262.0,0.0,none,44.67,1.57,,
53,84,60188,2.0,2026-01-02 16:47:22+00:00,2026-01-02 16:49:22+00:00,2026-01-02 17:08:22+00:00,,delivered,1,477.0,0.0,0.0,0.0,477.0,0.0,none,43.67,2.86,,
54,85,18633,5.0,2026-01-02 17:06:44+00:00,2026-01-02 17:07:44+00:00,2026-01-02 17:27:44+00:00,,delivered,2,251.0,0.0,5.0,30.0,226.0,0.0,none,38.99,1.36,,
55,87,15716,2.0,2026-01-02 17:34:32+00:00,2026-01-02 17:37:32+00:00,2026-01-02 17:58:32+00:00,,delivered,2,306.0,0.0,5.0,0.0,311.0,0.0,none,43.62,1.87,,
56,88,64408,12.0,2026-01-02 17:38:07+00:00,2026-01-02 17:40:07+00:00,2026-01-02 17:48:07+00:00,,delivered,1,487.0,0.0,0.0,0.0,487.0,0.0,none,37.18,2.92,,
57,89,23411,10.0,2026-01-02 17:47:36+00:00,2026-01-02 17:48:36+00:00,2026-01-02 18:13:36+00:00,,delivered,5,675.0,0.0,0.0,0.0,675.0,0.0,none,48.65,8.1,,
58,91,40049,2.0,2026-01-02 18:08:29+00:00,2026-01-02 18:09:29+00:00,2026-01-02 18:27:29+00:00,,delivered,2,139.0,25.0,5.0,0.0,169.0,0.0,none,52.21,2.03,,
59,92,22677,13.0,2026-01-02 18:12:10+00:00,2026-01-02 18:15:10+00:00,2026-01-02 18:23:10+00:00,,delivered,1,261.0,0.0,5.0,0.0,266.0,0.0,none,46.31,1.6,,
60,93,68657,9.0,2026-01-02 18:21:14+00:00,2026-01-02 18:23:14+00:00,2026-01-02 18:55:14+00:00,,delivered,6,462.0,0.0,0.0,0.0,462.0,0.0,none,41.82,2.77,,
61,94,48830,2.0,2026-01-02 18:49:39+00:00,2026-01-02 18:51:39+00:00,2026-01-02 19:00:39+00:00,,delivered,4,336.0,0.0,5.0,30.0,311.0,0.0,none,37.52,3.73,,
62,97,1506,14.0,2026-01-02 19:20:03+00:00,2026-01-02 19:23:03+00:00,2026-01-02 19:45:03+00:00,,delivered,2,137.0,25.0,5.0,0.0,167.0,0.0,none,38.07,2.0,,
63,98,28540,11.0,2026-01-02 19:35:57+00:00,2026-01-02 19:38:57+00:00,2026-01-02 19:45:57+00:00,,delivered,4,1153.0,0.0,0.0,30.0,1123.0,0.0,none,44.68,13.48,,
64,99,39567,4.0,2026-01-02 19:37:33+00:00,2026-01-02 19:39:33+00:00,2026-01-02 19:52:33+00:00,,delivered,1,206.0,0.0,5.0,30.0,181.0,0.0,none,40.67,1.09,,
65,100,50062,4.0,2026-01-02 20:19:38+00:00,2026-01-02 20:22:38+00:00,2026-01-02 20:48:38+00:00,,delivered,4,554.0,0.0,0.0,0.0,554.0,0.0,none,44.3,3.32,,
66,101,67424,6.0,2026-01-02 20:23:09+00:00,2026-01-02 20:24:09+00:00,2026-01-02 20:33:09+00:00,,delivered,5,509.0,0.0,0.0,0.0,509.0,0.0,none,46.41,6.11,,
67,102,75442,10.0,2026-01-02 20:25:19+00:00,2026-01-02 20:27:19+00:00,2026-01-02 20:55:19+00:00,,delivered,3,612.0,0.0,0.0,0.0,612.0,0.0,none,48.58,3.67,,
68,103,5396,4.0,2026-01-02 20:42:43+00:00,2026-01-02 20:45:43+00:00,2026-01-02 21:13:43+00:00,,delivered,2,348.0,0.0,5.0,0.0,353.0,0.0,none,54.91,4.24,,
69,107,78393,6.0,2026-01-02 21:18:42+00:00,2026-01-02 21:19:42+00:00,2026-01-02 21:42:42+00:00,,delivered,2,329.0,0.0,5.0,0.0,334.0,0.0,none,48.66,4.01,,
70,109,35289,15.0,2026-01-02 22:01:18+00:00,2026-01-02 22:03:18+00:00,2026-01-02 22:12:18+00:00,,delivered,4,418.0,0.0,0.0,0.0,418.0,0.0,none,47.13,2.51,,
71,112,16698,15.0,2026-01-02 22:10:07+00:00,2026-01-02 22:13:07+00:00,2026-01-02 22:39:07+00:00,,delivered,2,229.0,0.0,5.0,0.0,234.0,0.0,none,56.24,1.4,,
72,113,40124,13.0,2026-01-02 22:45:23+00:00,2026-01-02 22:47:23+00:00,2026-01-02 23:08:23+00:00,,delivered,1,319.0,0.0,5.0,30.0,294.0,0.0,none,44.13,1.76,,
73,115,5625,2.0,2026-01-02 23:05:24+00:00,2026-01-02 23:08:24+00:00,2026-01-02 23:25:24+00:00,,delivered,4,359.0,0.0,5.0,0.0,364.0,0.0,none,32.78,2.18,,
74,116,70560,9.0,2026-01-03 00:49:47+00:00,2026-01-03 00:50:47+00:00,,2026-01-03 00:52:47+00:00,cancelled_by_store,2,930.0,0.0,0.0,30.0,900.0,0.0,none,45.92,10.8,store,capacity_constraint
75,117,75720,13.0,2026-01-03 01:22:15+00:00,2026-01-03 01:25:15+00:00,2026-01-03 01:32:15+00:00,,delivered,2,300.0,0.0,5.0,0.0,305.0,0.0,none,40.33,1.83,,
76,118,20429,2.0,2026-01-03 01:38:05+00:00,2026-01-03 01:39:05+00:00,2026-01-03 01:48:05+00:00,,delivered,2,182.0,25.0,5.0,0.0,212.0,0.0,none,29.34,2.54,,
77,122,47813,5.0,2026-01-03 08:12:55+00:00,2026-01-03 08:15:55+00:00,2026-01-03 08:27:55+00:00,,delivered,3,142.0,25.0,5.0,0.0,172.0,0.0,none,43.53,2.06,,
78,123,50598,6.0,2026-01-03 08:16:16+00:00,2026-01-03 08:18:16+00:00,2026-01-03 08:37:16+00:00,,delivered,1,182.0,25.0,5.0,0.0,212.0,0.0,none,37.55,2.54,,
79,124,39336,13.0,2026-01-03 08:27:21+00:00,2026-01-03 08:28:21+00:00,2026-01-03 08:42:21+00:00,,delivered,3,234.0,0.0,5.0,0.0,239.0,0.0,none,42.3,1.43,,
80,128,55116,12.0,2026-01-03 09:37:14+00:00,2026-01-03 09:40:14+00:00,2026-01-03 10:14:14+00:00,,delivered,1,139.0,25.0,5.0,0.0,169.0,0.0,none,54.34,2.03,,
81,129,35159,4.0,2026-01-03 10:09:20+00:00,2026-01-03 10:11:20+00:00,,2026-01-03 10:16:20+00:00,cancelled_by_user,3,129.0,25.0,5.0,0.0,159.0,0.0,none,40.33,0.95,user,address_issue
82,130,9614,9.0,2026-01-03 10:53:53+00:00,2026-01-03 10:56:53+00:00,2026-01-03 11:20:53+00:00,,delivered,3,529.0,0.0,0.0,0.0,529.0,0.0,none,51.4,6.35,,
83,132,71196,6.0,2026-01-03 11:05:51+00:00,2026-01-03 11:08:51+00:00,2026-01-03 11:20:51+00:00,,delivered,3,305.0,0.0,5.0,0.0,310.0,0.0,none,44.59,1.86,,
84,136,14721,7.0,2026-01-03 13:12:46+00:00,2026-01-03 13:13:46+00:00,2026-01-03 13:46:46+00:00,,delivered,3,494.0,0.0,0.0,0.0,494.0,0.0,none,43.34,2.96,,
85,137,41336,3.0,2026-01-03 13:48:37+00:00,2026-01-03 13:51:37+00:00,2026-01-03 14:07:37+00:00,,delivered,5,1104.0,0.0,0.0,0.0,1104.0,0.0,none,55.91,13.25,,
86,139,4994,15.0,2026-01-03 14:19:31+00:00,2026-01-03 14:20:31+00:00,,,delivery_failed,3,143.0,25.0,5.0,0.0,173.0,0.0,none,48.97,1.04,,
87,140,18518,12.0,2026-01-03 14:35:48+00:00,2026-01-03 14:37:48+00:00,2026-01-03 14:59:48+00:00,,delivered,3,281.0,0.0,5.0,30.0,256.0,0.0,none,34.11,1.54,,
88,142,17557,5.0,2026-01-03 15:04:02+00:00,2026-01-03 15:07:02+00:00,2026-01-03 15:18:02+00:00,,delivered,3,143.0,25.0,5.0,0.0,173.0,0.0,none,40.71,2.08,,
89,146,44276,14.0,2026-01-03 16:18:31+00:00,2026-01-03 16:20:31+00:00,2026-01-03 16:44:31+00:00,,delivered,1,319.0,0.0,5.0,0.0,324.0,0.0,none,43.56,3.89,,
90,147,5822,9.0,2026-01-03 16:23:01+00:00,2026-01-03 16:25:01+00:00,2026-01-03 16:33:01+00:00,,delivered,1,509.0,0.0,0.0,30.0,479.0,0.0,none,50.51,2.87,,
91,148,42018,6.0,2026-01-03 16:27:20+00:00,2026-01-03 16:30:20+00:00,2026-01-03 16:42:20+00:00,,delivered,3,1081.0,0.0,0.0,30.0,1051.0,0.0,none,39.22,12.61,,
92,149,21474,6.0,2026-01-03 16:39:11+00:00,2026-01-03 16:41:11+00:00,2026-01-03 17:11:11+00:00,,delivered,2,155.0,25.0,5.0,0.0,185.0,0.0,none,56.29,2.22,,
93,150,13554,12.0,2026-01-03 16:43:42+00:00,2026-01-03 16:46:42+00:00,2026-01-03 16:54:42+00:00,,delivered,1,290.0,0.0,5.0,30.0,265.0,0.0,none,39.15,1.59,,
94,154,33485,14.0,2026-01-03 18:16:35+00:00,2026-01-03 18:18:35+00:00,2026-01-03 18:49:35+00:00,,delivered,1,106.0,25.0,5.0,0.0,136.0,0.0,none,47.82,0.82,,
95,156,54843,6.0,2026-01-03 18:38:08+00:00,2026-01-03 18:40:08+00:00,2026-01-03 19:04:08+00:00,,delivered,1,106.0,25.0,5.0,0.0,136.0,0.0,none,49.87,0.82,,
96,157,78846,8.0,2026-01-03 18:38:59+00:00,2026-01-03 18:40:59+00:00,2026-01-03 18:48:59+00:00,,delivered,3,714.0,0.0,0.0,0.0,714.0,0.0,none,36.4,4.28,,
97,158,7236,10.0,2026-01-03 18:40:24+00:00,2026-01-03 18:42:24+00:00,2026-01-03 18:52:24+00:00,,delivered,3,475.0,0.0,0.0,0.0,475.0,0.0,none,54.11,5.7,,
98,159,34054,8.0,2026-01-03 18:40:02+00:00,2026-01-03 18:41:02+00:00,2026-01-03 19:05:02+00:00,,delivered,1,140.0,25.0,5.0,0.0,170.0,0.0,none,36.4,1.02,,
99,160,27281,11.0,2026-01-03 18:57:05+00:00,2026-01-03 19:00:05+00:00,2026-01-03 19:18:05+00:00,,delivered,1,300.0,0.0,5.0,30.0,275.0,0.0,none,52.78,3.3,,
100,161,38450,3.0,2026-01-03 19:21:46+00:00,2026-01-03 19:23:46+00:00,2026-01-03 19:45:46+00:00,,delivered,3,190.0,25.0,5.0,0.0,220.0,0.0,none,40.12,1.32,,
