event_id,user_id,session_id,event_name,event_timestamp,product_id,search_id,checkout_id,payment_attempt_id,order_id,store_id,screen_name,event_properties
44,27225,65922,payment_attempted,2026-01-01 08:39:47+00:00,,,1.0,2.0,,7.0,payment,"{""method"":""netbanking""}"
45,27225,65922,payment_succeeded,2026-01-01 08:39:50+00:00,,,1.0,2.0,,7.0,payment,{}
46,27225,65922,order_placed,2026-01-01 08:39:53+00:00,,,1.0,,1.0,7.0,order_confirmation,"{""order_value"":255.0}"
47,74302,179452,app_open,2026-01-01 08:37:56+00:00,,,,,,5.0,launch,{}
48,74302,179452,home_view,2026-01-01 08:38:04+00:00,,,,,,5.0,home,{}
49,74302,179452,search_submitted,2026-01-01 08:38:12+00:00,,5.0,,,,5.0,search,{}
50,74302,179452,search_results_viewed,2026-01-01 08:38:20+00:00,,5.0,,,,5.0,search_results,"{""result_count"":25}"
51,74302,179452,product_viewed,2026-01-01 08:38:28+00:00,213.0,5.0,,,,5.0,product_detail,{}
52,74302,179452,add_to_cart,2026-01-01 08:38:36+00:00,213.0,5.0,,,,5.0,product_detail,"{""quantity"":1,""unit_price"":84.0}"
53,74302,179452,cart_viewed,2026-01-01 08:38:44+00:00,,,,,,5.0,cart,"{""subtotal"":84.0,""item_count"":1}"
54,74302,179452,checkout_started,2026-01-01 08:38:52+00:00,,,2.0,,,5.0,checkout,{}
55,74302,179452,fee_breakdown_viewed,2026-01-01 08:39:00+00:00,,,2.0,,,5.0,checkout,"{""handling_fee"":5.0,""delivery_fee"":25.0,""total"":114.0}"
56,46192,111650,app_open,2026-01-01 08:38:28+00:00,,,,,,5.0,launch,{}
57,46192,111650,home_view,2026-01-01 08:38:36+00:00,,,,,,5.0,home,{}
58,46192,111650,category_viewed,2026-01-01 08:38:44+00:00,,,,,,5.0,category,"{""category"":""Dairy and breakfast""}"
59,46192,111650,product_viewed,2026-01-01 08:39:00+00:00,481.0,,,,,5.0,product_detail,{}
60,46192,111650,add_to_cart,2026-01-01 08:39:08+00:00,481.0,,,,,5.0,product_detail,"{""quantity"":1,""unit_price"":121.0}"
61,46192,111650,add_to_cart,2026-01-01 08:39:16+00:00,581.0,,,,,5.0,product_detail,"{""quantity"":1,""unit_price"":37.0}"
62,46192,111650,add_to_cart,2026-01-01 08:39:24+00:00,297.0,,,,,5.0,product_detail,"{""quantity"":1,""unit_price"":30.0}"
63,46192,111650,cart_viewed,2026-01-01 08:39:32+00:00,,,,,,5.0,cart,"{""subtotal"":188.0,""item_count"":3}"
64,40138,97038,app_open,2026-01-01 08:42:55+00:00,,,,,,6.0,launch,{}
65,40138,97038,home_view,2026-01-01 08:43:03+00:00,,,,,,6.0,home,{}
66,40138,97038,signup_started,2026-01-01 08:43:11+00:00,,,,,,,signup,{}
67,46282,111874,app_open,2026-01-01 08:44:28+00:00,,,,,,1.0,launch,{}
68,46282,111874,home_view,2026-01-01 08:44:36+00:00,,,,,,1.0,home,{}
69,18294,44151,app_open,2026-01-01 08:44:56+00:00,,,,,,12.0,launch,{}
70,18294,44151,home_view,2026-01-01 08:45:04+00:00,,,,,,12.0,home,{}
71,18294,44151,signup_started,2026-01-01 08:45:12+00:00,,,,,,,signup,{}
72,69724,168392,app_open,2026-01-01 08:46:56+00:00,,,,,,13.0,launch,{}
73,69724,168392,home_view,2026-01-01 08:47:04+00:00,,,,,,13.0,home,{}
74,52742,127513,app_open,2026-01-01 08:49:10+00:00,,,,,,4.0,launch,{}
75,52742,127513,home_view,2026-01-01 08:49:18+00:00,,,,,,4.0,home,{}
76,52742,127513,search_submitted,2026-01-01 08:49:26+00:00,,6.0,,,,4.0,search,{}
77,52742,127513,search_results_viewed,2026-01-01 08:49:34+00:00,,6.0,,,,4.0,search_results,"{""result_count"":22}"
78,19941,48116,app_open,2026-01-01 08:58:51+00:00,,,,,,8.0,launch,{}
79,19941,48116,home_view,2026-01-01 08:58:59+00:00,,,,,,8.0,home,{}
80,19941,48116,search_submitted,2026-01-01 08:59:07+00:00,,7.0,,,,8.0,search,{}
81,19941,48116,search_results_viewed,2026-01-01 08:59:15+00:00,,7.0,,,,8.0,search_results,"{""result_count"":5}"
82,27159,65771,app_open,2026-01-01 09:07:45+00:00,,,,,,3.0,launch,{}
83,27159,65771,home_view,2026-01-01 09:07:53+00:00,,,,,,3.0,home,{}
84,27159,65771,category_viewed,2026-01-01 09:08:01+00:00,,,,,,3.0,category,"{""category"":""Packaged foods""}"
85,13713,33136,app_open,2026-01-01 09:07:51+00:00,,,,,,12.0,launch,{}
86,13713,33136,home_view,2026-01-01 09:07:59+00:00,,,,,,12.0,home,{}
87,13713,33136,search_submitted,2026-01-01 09:08:07+00:00,,8.0,,,,12.0,search,{}
88,13713,33136,search_results_viewed,2026-01-01 09:08:15+00:00,,8.0,,,,12.0,search_results,"{""result_count"":43}"
89,13713,33136,product_viewed,2026-01-01 09:08:23+00:00,360.0,8.0,,,,12.0,product_detail,{}
90,64954,156901,app_open,2026-01-01 09:10:59+00:00,,,,,,4.0,launch,{}
91,64954,156901,home_view,2026-01-01 09:11:07+00:00,,,,,,4.0,home,{}
92,64954,156901,category_viewed,2026-01-01 09:11:15+00:00,,,,,,4.0,category,"{""category"":""Fruits and vegetables""}"
93,64954,156901,product_viewed,2026-01-01 09:11:31+00:00,365.0,,,,,4.0,product_detail,{}
94,64954,156901,add_to_cart,2026-01-01 09:11:39+00:00,365.0,,,,,4.0,product_detail,"{""quantity"":2,""unit_price"":31.0}"
95,64954,156901,add_to_cart,2026-01-01 09:11:47+00:00,156.0,,,,,4.0,product_detail,"{""quantity"":1,""unit_price"":23.0}"
96,64954,156901,add_to_cart,2026-01-01 09:11:55+00:00,109.0,,,,,4.0,product_detail,"{""quantity"":1,""unit_price"":129.0}"
97,64954,156901,cart_viewed,2026-01-01 09:12:03+00:00,,,,,,4.0,cart,"{""subtotal"":214.0,""item_count"":3}"
98,64954,156901,checkout_started,2026-01-01 09:12:11+00:00,,,3.0,,,4.0,checkout,{}
99,64954,156901,fee_breakdown_viewed,2026-01-01 09:12:19+00:00,,,3.0,,,4.0,checkout,"{""handling_fee"":5.0,""delivery_fee"":0.0,""total"":219.0}"
100,64954,156901,payment_attempted,2026-01-01 09:12:46+00:00,,,3.0,3.0,,4.0,payment,"{""method"":""card""}"
