payment_attempt_id,checkout_id,attempt_number,attempted_at,payment_method,payment_provider,payment_status,failure_code,failure_reason,amount,processing_time_ms
68,97,1,2026-01-02 19:19:57+00:00,card,PayBridge,success,,,167.0,1595
69,98,1,2026-01-02 19:35:51+00:00,card,PayBridge,success,,,1123.0,1042
70,99,1,2026-01-02 19:37:27+00:00,UPI,SwiftPay,success,,,181.0,1097
71,100,1,2026-01-02 20:19:32+00:00,UPI,RazorFlow,success,,,554.0,1251
72,101,1,2026-01-02 20:23:03+00:00,card,SwiftPay,success,,,509.0,945
73,102,1,2026-01-02 20:25:13+00:00,UPI,SwiftPay,success,,,612.0,1115
74,103,1,2026-01-02 20:42:37+00:00,card,RazorFlow,success,,,353.0,1210
75,107,1,2026-01-02 21:18:36+00:00,wallet,SwiftPay,success,,,334.0,1622
76,109,1,2026-01-02 22:01:12+00:00,UPI,RazorFlow,success,,,418.0,963
77,111,1,2026-01-02 22:05:09+00:00,card,SwiftPay,failed,BANK_DECLINE,Bank Decline,617.0,2233
78,112,1,2026-01-02 22:10:01+00:00,UPI,PayBridge,success,,,234.0,195
79,113,1,2026-01-02 22:45:17+00:00,UPI,RazorFlow,success,,,294.0,2271
80,115,1,2026-01-02 23:05:18+00:00,UPI,PayBridge,success,,,364.0,2396
81,116,1,2026-01-03 00:49:41+00:00,wallet,RazorFlow,success,,,900.0,543
82,117,1,2026-01-03 01:22:09+00:00,UPI,SwiftPay,success,,,305.0,1282
83,118,1,2026-01-03 01:37:59+00:00,card,PayBridge,success,,,212.0,710
84,119,1,2026-01-03 02:50:15+00:00,UPI,RazorFlow,failed,AUTH_FAILED,Auth Failed,198.0,1538
85,122,1,2026-01-03 08:12:49+00:00,card,RazorFlow,success,,,172.0,1961
86,123,1,2026-01-03 08:16:10+00:00,netbanking,PayBridge,success,,,212.0,2091
87,124,1,2026-01-03 08:27:15+00:00,UPI,PayBridge,success,,,239.0,1336
88,128,1,2026-01-03 09:37:08+00:00,card,PayBridge,success,,,169.0,1813
89,129,1,2026-01-03 10:09:14+00:00,UPI,SwiftPay,success,,,159.0,1748
90,130,1,2026-01-03 10:53:47+00:00,card,RazorFlow,success,,,529.0,908
91,132,1,2026-01-03 11:05:45+00:00,UPI,SwiftPay,success,,,310.0,1717
92,135,1,2026-01-03 12:52:09+00:00,card,RazorFlow,failed,TIMEOUT,Timeout,1142.0,2820
93,136,1,2026-01-03 13:12:40+00:00,UPI,PayBridge,success,,,494.0,1411
94,137,1,2026-01-03 13:48:31+00:00,netbanking,RazorFlow,success,,,1104.0,2638
95,139,1,2026-01-03 14:19:25+00:00,UPI,PayBridge,success,,,173.0,903
96,140,1,2026-01-03 14:35:42+00:00,UPI,RazorFlow,success,,,256.0,2038
97,142,1,2026-01-03 15:03:56+00:00,card,PayBridge,success,,,173.0,235
98,146,1,2026-01-03 16:18:25+00:00,wallet,RazorFlow,success,,,324.0,1872
99,147,1,2026-01-03 16:22:55+00:00,UPI,RazorFlow,success,,,479.0,873
100,148,1,2026-01-03 16:27:14+00:00,card,SwiftPay,success,,,1051.0,2007
