checkout_id,user_id,session_id,store_id,checkout_started_at,checkout_ended_at,item_count,subtotal,delivery_fee,handling_fee,discount_amount,total_payable,estimated_delivery_minutes,checkout_outcome,abandonment_stage
14,75286,181840,3.0,2026-01-01 12:53:43+00:00,2026-01-01 12:54:57+00:00,2,431.0,0.0,0.0,0.0,431.0,35,payment_failed,
15,27953,67651,13.0,2026-01-01 13:17:18+00:00,2026-01-01 13:17:42+00:00,3,68.0,25.0,5.0,0.0,98.0,36,abandoned,fee_review
16,15278,36831,2.0,2026-01-01 13:22:49+00:00,2026-01-01 13:23:28+00:00,3,326.0,0.0,5.0,0.0,331.0,32,order_created,
17,10846,26169,15.0,2026-01-01 13:42:08+00:00,2026-01-01 13:42:47+00:00,3,113.0,25.0,5.0,0.0,143.0,22,order_created,
18,37291,90234,11.0,2026-01-01 13:44:03+00:00,2026-01-01 13:44:42+00:00,2,506.0,0.0,0.0,0.0,506.0,39,order_created,
19,19023,45882,1.0,2026-01-01 13:50:14+00:00,2026-01-01 13:50:53+00:00,2,145.0,25.0,5.0,0.0,175.0,30,order_created,
20,1064,2515,13.0,2026-01-01 13:51:21+00:00,2026-01-01 13:51:45+00:00,2,89.0,25.0,5.0,0.0,119.0,28,abandoned,fee_review
21,50718,122676,10.0,2026-01-01 14:02:45+00:00,2026-01-01 14:03:24+00:00,2,834.0,0.0,0.0,30.0,804.0,23,order_created,
22,77374,186903,13.0,2026-01-01 14:12:21+00:00,2026-01-01 14:12:45+00:00,1,29.0,25.0,5.0,0.0,59.0,14,abandoned,fee_review
23,14844,35820,7.0,2026-01-01 14:13:55+00:00,2026-01-01 14:14:19+00:00,1,29.0,25.0,5.0,0.0,59.0,14,abandoned,fee_review
24,20429,49321,1.0,2026-01-01 14:18:25+00:00,2026-01-01 14:19:04+00:00,5,755.0,0.0,0.0,0.0,755.0,28,order_created,
25,16654,40185,14.0,2026-01-01 14:44:31+00:00,2026-01-01 14:45:10+00:00,3,876.0,0.0,0.0,0.0,876.0,16,order_created,
26,31090,75308,14.0,2026-01-01 14:57:50+00:00,2026-01-01 14:58:29+00:00,3,158.0,25.0,5.0,0.0,188.0,23,payment_failed,
27,32130,77789,3.0,2026-01-01 14:57:46+00:00,2026-01-01 14:58:25+00:00,1,129.0,25.0,5.0,0.0,159.0,23,order_created,
28,45788,110736,15.0,2026-01-01 15:00:19+00:00,2026-01-01 15:00:43+00:00,6,2229.0,0.0,0.0,0.0,2229.0,26,abandoned,fee_review
29,1777,4240,6.0,2026-01-01 15:31:39+00:00,2026-01-01 15:32:03+00:00,1,73.0,25.0,5.0,0.0,103.0,18,abandoned,fee_review
30,74850,180798,7.0,2026-01-01 15:35:53+00:00,2026-01-01 15:36:32+00:00,3,505.0,0.0,0.0,30.0,475.0,25,order_created,
31,75505,182396,9.0,2026-01-01 16:14:11+00:00,2026-01-01 16:14:35+00:00,2,96.0,25.0,5.0,0.0,126.0,26,abandoned,fee_review
32,75573,182557,8.0,2026-01-01 16:18:09+00:00,2026-01-01 16:18:48+00:00,2,697.0,0.0,0.0,0.0,697.0,20,order_created,
33,30576,74039,1.0,2026-01-01 16:30:25+00:00,2026-01-01 16:31:04+00:00,2,926.0,0.0,0.0,0.0,926.0,18,order_created,
34,75720,182917,15.0,2026-01-01 16:37:17+00:00,2026-01-01 16:37:56+00:00,2,101.0,25.0,5.0,0.0,131.0,17,order_created,
35,65715,158791,4.0,2026-01-01 16:38:02+00:00,2026-01-01 16:38:26+00:00,1,293.0,0.0,5.0,30.0,268.0,16,abandoned,fee_review
36,27947,67636,10.0,2026-01-01 16:52:19+00:00,2026-01-01 16:52:58+00:00,2,444.0,0.0,0.0,0.0,444.0,18,order_created,
37,66215,159952,1.0,2026-01-01 16:54:44+00:00,2026-01-01 16:55:23+00:00,3,689.0,0.0,0.0,0.0,689.0,31,order_created,
38,69947,168944,14.0,2026-01-01 17:25:20+00:00,2026-01-01 17:25:44+00:00,1,59.0,25.0,5.0,0.0,89.0,23,abandoned,fee_review
39,41413,100149,12.0,2026-01-01 18:26:17+00:00,2026-01-01 18:26:56+00:00,2,331.0,0.0,5.0,0.0,336.0,31,order_created,
40,50305,121676,11.0,2026-01-01 18:27:28+00:00,2026-01-01 18:28:07+00:00,2,488.0,0.0,0.0,0.0,488.0,25,order_created,
41,62444,150970,4.0,2026-01-01 18:41:26+00:00,2026-01-01 18:42:05+00:00,4,602.0,0.0,0.0,0.0,602.0,23,order_created,
42,77911,188178,12.0,2026-01-01 18:48:53+00:00,2026-01-01 18:49:32+00:00,3,232.0,0.0,5.0,0.0,237.0,34,order_created,
43,61762,149348,4.0,2026-01-01 19:18:29+00:00,2026-01-01 19:19:08+00:00,1,134.0,25.0,5.0,0.0,164.0,19,order_created,
44,8864,21379,4.0,2026-01-01 19:19:51+00:00,2026-01-01 19:20:30+00:00,3,338.0,0.0,5.0,0.0,343.0,20,order_created,
45,7442,17937,13.0,2026-01-01 20:01:35+00:00,2026-01-01 20:02:14+00:00,1,644.0,0.0,0.0,0.0,644.0,20,order_created,
46,1518,3621,5.0,2026-01-01 20:14:16+00:00,2026-01-01 20:14:55+00:00,3,409.0,0.0,0.0,30.0,379.0,28,order_created,
47,41065,99288,13.0,2026-01-01 20:37:34+00:00,2026-01-01 20:37:58+00:00,1,34.0,25.0,5.0,0.0,64.0,20,abandoned,fee_review
48,37996,91921,2.0,2026-01-01 20:57:33+00:00,2026-01-01 20:58:12+00:00,3,913.0,0.0,0.0,0.0,913.0,19,order_created,
49,70087,169268,3.0,2026-01-01 21:15:28+00:00,2026-01-01 21:16:07+00:00,1,115.0,25.0,5.0,0.0,145.0,28,order_created,
50,29228,70780,8.0,2026-01-01 21:45:58+00:00,2026-01-01 21:46:37+00:00,3,761.0,0.0,0.0,0.0,761.0,13,order_created,
51,53546,129383,1.0,2026-01-01 21:48:27+00:00,2026-01-01 21:49:06+00:00,3,879.0,0.0,0.0,30.0,849.0,26,order_created,
52,1100,2605,12.0,2026-01-01 21:50:33+00:00,2026-01-01 21:50:57+00:00,1,41.0,25.0,5.0,0.0,71.0,20,abandoned,fee_review
53,20014,48317,10.0,2026-01-01 21:51:52+00:00,2026-01-01 21:52:16+00:00,1,12.0,25.0,5.0,0.0,42.0,27,abandoned,fee_review
54,38325,92717,11.0,2026-01-01 22:12:31+00:00,2026-01-01 22:13:10+00:00,5,446.0,0.0,0.0,0.0,446.0,30,order_created,
55,31140,75423,9.0,2026-01-01 22:44:36+00:00,2026-01-01 22:45:00+00:00,1,47.0,25.0,5.0,0.0,77.0,29,abandoned,fee_review
56,72742,175676,13.0,2026-01-02 08:28:30+00:00,2026-01-02 08:28:54+00:00,1,92.0,25.0,5.0,0.0,122.0,23,abandoned,fee_review
57,2669,6347,1.0,2026-01-02 08:29:10+00:00,2026-01-02 08:29:34+00:00,1,61.0,25.0,5.0,0.0,91.0,35,abandoned,fee_review
58,41980,101523,9.0,2026-01-02 08:55:20+00:00,2026-01-02 08:55:44+00:00,2,44.0,25.0,5.0,0.0,74.0,25,abandoned,fee_review
59,31168,75476,2.0,2026-01-02 09:23:46+00:00,2026-01-02 09:24:10+00:00,2,162.0,25.0,5.0,0.0,192.0,31,abandoned,fee_review
60,51346,124145,7.0,2026-01-02 10:00:18+00:00,2026-01-02 10:00:57+00:00,3,601.0,0.0,0.0,30.0,571.0,38,order_created,
61,58965,142477,6.0,2026-01-02 10:02:14+00:00,2026-01-02 10:02:53+00:00,1,233.0,0.0,5.0,0.0,238.0,29,order_created,
62,11093,26762,11.0,2026-01-02 10:07:10+00:00,2026-01-02 10:07:34+00:00,1,82.0,25.0,5.0,0.0,112.0,26,abandoned,fee_review
63,8368,20182,13.0,2026-01-02 10:08:15+00:00,2026-01-02 10:08:54+00:00,1,408.0,0.0,0.0,0.0,408.0,19,order_created,
64,78470,189528,15.0,2026-01-02 10:33:33+00:00,2026-01-02 10:34:12+00:00,3,580.0,0.0,0.0,30.0,550.0,13,order_created,
65,20295,49016,5.0,2026-01-02 10:54:50+00:00,2026-01-02 10:55:29+00:00,1,337.0,0.0,5.0,0.0,342.0,18,order_created,
66,61961,149831,9.0,2026-01-02 11:00:33+00:00,2026-01-02 11:01:12+00:00,2,466.0,0.0,0.0,0.0,466.0,26,order_created,
67,41925,101386,13.0,2026-01-02 11:41:54+00:00,2026-01-02 11:42:33+00:00,1,199.0,0.0,5.0,0.0,204.0,32,order_created,
68,67045,161877,1.0,2026-01-02 11:43:35+00:00,2026-01-02 11:44:14+00:00,1,109.0,25.0,5.0,0.0,139.0,15,order_created,
69,634,1504,14.0,2026-01-02 12:02:09+00:00,2026-01-02 12:02:33+00:00,1,21.0,25.0,5.0,0.0,51.0,25,abandoned,fee_review
70,40469,97815,6.0,2026-01-02 12:12:08+00:00,2026-01-02 12:12:47+00:00,1,337.0,0.0,5.0,30.0,312.0,23,order_created,
71,10296,24833,6.0,2026-01-02 12:23:49+00:00,2026-01-02 12:24:28+00:00,2,175.0,25.0,5.0,0.0,205.0,18,order_created,
72,64981,156969,9.0,2026-01-02 12:33:14+00:00,2026-01-02 12:33:38+00:00,1,48.0,25.0,5.0,0.0,78.0,24,abandoned,fee_review
73,28329,68575,8.0,2026-01-02 13:18:35+00:00,2026-01-02 13:19:14+00:00,1,150.0,25.0,5.0,0.0,180.0,31,order_created,
74,66577,160802,4.0,2026-01-02 13:29:41+00:00,2026-01-02 13:30:05+00:00,2,93.0,25.0,5.0,0.0,123.0,29,abandoned,fee_review
75,12812,30945,4.0,2026-01-02 13:37:53+00:00,2026-01-02 13:38:17+00:00,1,21.0,25.0,5.0,0.0,51.0,20,abandoned,fee_review
76,40536,97966,6.0,2026-01-02 13:53:59+00:00,2026-01-02 13:54:38+00:00,2,176.0,25.0,5.0,0.0,206.0,15,order_created,
77,60874,147178,5.0,2026-01-02 14:08:05+00:00,2026-01-02 14:08:29+00:00,1,37.0,25.0,5.0,0.0,67.0,31,abandoned,fee_review
78,34094,82513,3.0,2026-01-02 15:14:22+00:00,2026-01-02 15:15:01+00:00,3,152.0,25.0,5.0,0.0,182.0,27,order_created,
79,43726,105764,8.0,2026-01-02 15:32:28+00:00,2026-01-02 15:32:52+00:00,1,99.0,25.0,5.0,0.0,129.0,24,abandoned,fee_review
80,52750,127534,6.0,2026-01-02 15:36:35+00:00,2026-01-02 15:37:14+00:00,3,377.0,0.0,5.0,0.0,382.0,23,order_created,
81,49821,120496,13.0,2026-01-02 15:56:53+00:00,2026-01-02 15:57:32+00:00,4,231.0,0.0,5.0,0.0,236.0,16,order_created,
82,79163,191209,13.0,2026-01-02 16:01:49+00:00,2026-01-02 16:02:28+00:00,3,346.0,0.0,5.0,0.0,351.0,13,order_created,
83,31207,75569,5.0,2026-01-02 16:33:17+00:00,2026-01-02 16:33:56+00:00,3,257.0,0.0,5.0,0.0,262.0,18,order_created,
84,60188,145499,2.0,2026-01-02 16:46:41+00:00,2026-01-02 16:47:20+00:00,1,477.0,0.0,0.0,0.0,477.0,23,order_created,
85,18633,44960,5.0,2026-01-02 17:06:03+00:00,2026-01-02 17:06:42+00:00,2,251.0,0.0,5.0,30.0,226.0,13,order_created,
86,25379,61385,12.0,2026-01-02 17:30:30+00:00,2026-01-02 17:30:54+00:00,1,41.0,25.0,5.0,0.0,71.0,28,abandoned,fee_review
87,15716,37881,2.0,2026-01-02 17:33:51+00:00,2026-01-02 17:34:30+00:00,2,306.0,0.0,5.0,0.0,311.0,23,order_created,
88,64408,155603,12.0,2026-01-02 17:37:26+00:00,2026-01-02 17:38:05+00:00,1,487.0,0.0,0.0,0.0,487.0,12,order_created,
89,23411,56587,10.0,2026-01-02 17:46:55+00:00,2026-01-02 17:47:34+00:00,5,675.0,0.0,0.0,0.0,675.0,21,order_created,
90,19023,45883,2.0,2026-01-02 17:54:12+00:00,2026-01-02 17:54:36+00:00,1,84.0,25.0,5.0,0.0,114.0,17,abandoned,fee_review
91,40049,96828,2.0,2026-01-02 18:07:48+00:00,2026-01-02 18:08:27+00:00,2,139.0,25.0,5.0,0.0,169.0,17,order_created,
92,22677,54839,13.0,2026-01-02 18:11:29+00:00,2026-01-02 18:12:08+00:00,1,261.0,0.0,5.0,0.0,266.0,18,order_created,
93,68657,165809,9.0,2026-01-02 18:20:33+00:00,2026-01-02 18:21:12+00:00,6,462.0,0.0,0.0,0.0,462.0,28,order_created,
94,48830,118056,2.0,2026-01-02 18:48:58+00:00,2026-01-02 18:49:37+00:00,4,336.0,0.0,5.0,30.0,311.0,21,order_created,
95,65287,157739,4.0,2026-01-02 19:05:53+00:00,2026-01-02 19:06:17+00:00,1,37.0,25.0,5.0,0.0,67.0,21,abandoned,fee_review
96,63380,153222,10.0,2026-01-02 19:12:08+00:00,2026-01-02 19:12:32+00:00,1,40.0,25.0,5.0,0.0,70.0,21,abandoned,fee_review
97,1506,3599,14.0,2026-01-02 19:19:22+00:00,2026-01-02 19:20:01+00:00,2,137.0,25.0,5.0,0.0,167.0,28,order_created,
98,28540,69105,11.0,2026-01-02 19:35:16+00:00,2026-01-02 19:35:55+00:00,4,1153.0,0.0,0.0,30.0,1123.0,10,order_created,
99,39567,95707,4.0,2026-01-02 19:36:52+00:00,2026-01-02 19:37:31+00:00,1,206.0,0.0,5.0,30.0,181.0,24,order_created,
100,50062,121064,4.0,2026-01-02 20:18:57+00:00,2026-01-02 20:19:36+00:00,4,554.0,0.0,0.0,0.0,554.0,25,order_created,
