user_id,first_seen_at,signup_completed_at,acquisition_channel,campaign_name,initial_city,initial_platform,device_tier,is_serviceable,acquisition_cost
47,2026-04-06 17:21:10+00:00,2026-04-06 17:31:40+00:00,referral,referral_acq_2,Bengaluru,Android,mid,True,48.25
48,2026-01-22 22:02:30+00:00,,organic,,Hyderabad,Android,mid,True,0.0
49,2026-05-13 11:36:09+00:00,2026-05-13 11:46:27+00:00,organic,,Mumbai,Android,high,True,0.0
50,2026-05-24 10:50:49+00:00,2026-05-24 10:55:06+00:00,meta_ads,meta_ads_acq_2,Bengaluru,iOS,high,True,87.14
51,2026-06-29 12:44:43+00:00,2026-06-29 12:58:49+00:00,organic,,Bengaluru,iOS,high,True,0.0
52,2026-06-29 13:14:22+00:00,2026-06-29 13:26:44+00:00,organic,,Pune,Android,low,True,0.0
53,2026-01-18 21:50:37+00:00,,google_ads,google_ads_acq_4,Delhi NCR,iOS,mid,True,121.67
54,2026-06-22 11:02:44+00:00,2026-06-22 11:07:04+00:00,organic,,Delhi NCR,Android,mid,True,0.0
55,2026-01-24 18:35:42+00:00,2026-01-24 18:41:01+00:00,meta_ads,meta_ads_acq_1,Bengaluru,Android,mid,True,78.66
56,2026-05-02 11:58:05+00:00,,affiliate,affiliate_acq_3,Delhi NCR,Android,low,True,83.37
57,2026-01-13 09:14:19+00:00,2026-01-13 09:20:34+00:00,organic,,Delhi NCR,iOS,high,True,0.0
58,2026-07-30 08:33:44+00:00,2026-07-30 08:47:43+00:00,meta_ads,meta_ads_acq_3,Bengaluru,Android,low,True,94.98
59,2026-03-26 20:45:36+00:00,,google_ads,google_ads_acq_3,Bengaluru,Android,mid,True,107.13
60,2026-07-16 08:21:45+00:00,2026-07-16 08:22:44+00:00,meta_ads,meta_ads_acq_1,Hyderabad,Android,mid,True,83.28
61,2026-05-07 10:16:32+00:00,2026-05-07 10:26:06+00:00,referral,referral_acq_1,Hyderabad,Android,high,True,47.44
62,2026-01-20 16:07:49+00:00,2026-01-20 16:12:09+00:00,organic,,Bengaluru,Android,low,True,0.0
63,2026-06-06 08:36:46+00:00,2026-06-06 08:43:14+00:00,organic,,Hyderabad,Android,low,True,0.0
64,2026-02-14 13:28:00+00:00,,meta_ads,meta_ads_acq_1,Delhi NCR,Android,mid,False,96.2
65,2026-03-26 20:15:18+00:00,2026-03-26 20:26:23+00:00,referral,referral_acq_4,Pune,Android,high,True,49.22
66,2026-07-23 20:11:50+00:00,2026-07-23 20:17:25+00:00,google_ads,google_ads_acq_4,Hyderabad,iOS,high,True,134.37
67,2026-02-19 21:08:43+00:00,,affiliate,affiliate_acq_1,Delhi NCR,Android,low,False,73.63
68,2026-04-08 17:26:46+00:00,2026-04-08 17:35:40+00:00,organic,,Bengaluru,Android,mid,True,0.0
69,2026-04-18 10:51:14+00:00,2026-04-18 11:04:38+00:00,organic,,Pune,Android,mid,True,0.0
70,2026-07-27 08:54:22+00:00,2026-07-27 09:08:39+00:00,organic,,Delhi NCR,Android,mid,True,0.0
71,2026-06-15 12:49:32+00:00,2026-06-15 12:55:47+00:00,google_ads,google_ads_acq_2,Mumbai,Android,mid,True,114.14
72,2026-06-07 12:22:04+00:00,2026-06-07 12:25:03+00:00,organic,,Bengaluru,Android,low,True,0.0
73,2026-06-07 17:00:58+00:00,2026-06-07 17:11:57+00:00,google_ads,google_ads_acq_4,Pune,Android,low,True,116.38
74,2026-03-13 09:35:45+00:00,2026-03-13 09:37:30+00:00,google_ads,google_ads_acq_2,Hyderabad,Android,mid,True,122.25
75,2026-02-03 20:19:00+00:00,2026-02-03 20:32:20+00:00,meta_ads,meta_ads_acq_3,Hyderabad,Android,low,True,80.81
76,2026-01-25 15:51:57+00:00,2026-01-25 15:56:34+00:00,affiliate,affiliate_acq_2,Pune,Android,high,True,81.48
77,2026-06-12 11:59:47+00:00,2026-06-12 12:06:23+00:00,organic,,Mumbai,Android,mid,True,0.0
78,2026-06-28 20:39:22+00:00,2026-06-28 20:40:07+00:00,referral,referral_acq_3,Delhi NCR,iOS,high,True,48.49
79,2026-01-28 15:47:45+00:00,2026-01-28 15:48:38+00:00,meta_ads,meta_ads_acq_2,Pune,Android,mid,True,102.82
80,2026-06-17 17:03:41+00:00,2026-06-17 17:14:48+00:00,referral,referral_acq_4,Bengaluru,Android,high,True,47.53
81,2026-01-20 16:48:52+00:00,2026-01-20 17:03:11+00:00,affiliate,affiliate_acq_2,Bengaluru,iOS,high,True,75.22
82,2026-07-07 20:03:34+00:00,2026-07-07 20:11:39+00:00,referral,referral_acq_3,Mumbai,Android,mid,True,57.14
83,2026-02-12 19:51:43+00:00,,organic,,Hyderabad,Android,mid,False,0.0
84,2026-06-01 08:52:50+00:00,2026-06-01 08:53:43+00:00,organic,,Delhi NCR,Android,high,True,0.0
85,2026-06-18 18:07:15+00:00,2026-06-18 18:15:09+00:00,google_ads,google_ads_acq_4,Delhi NCR,Android,mid,True,109.46
86,2026-06-07 16:21:39+00:00,,organic,,Mumbai,Android,mid,False,0.0
87,2026-05-10 20:30:32+00:00,2026-05-10 20:40:47+00:00,meta_ads,meta_ads_acq_4,Delhi NCR,Android,mid,True,97.38
88,2026-01-08 12:29:19+00:00,2026-01-08 12:34:17+00:00,organic,,Mumbai,iOS,high,True,0.0
89,2026-04-04 14:24:24+00:00,2026-04-04 14:39:03+00:00,google_ads,google_ads_acq_1,Pune,Android,mid,True,120.13
90,2026-06-13 18:57:01+00:00,2026-06-13 19:04:19+00:00,google_ads,google_ads_acq_4,Mumbai,Android,low,True,134.39
91,2026-01-10 19:30:09+00:00,2026-01-10 19:40:12+00:00,organic,,Hyderabad,Android,low,True,0.0
92,2026-06-27 19:02:47+00:00,2026-06-27 19:07:36+00:00,google_ads,google_ads_acq_2,Hyderabad,Android,mid,True,128.73
93,2026-06-20 22:30:25+00:00,2026-06-20 22:38:21+00:00,google_ads,google_ads_acq_3,Pune,iOS,high,True,114.51
94,2026-05-17 13:13:08+00:00,2026-05-17 13:27:07+00:00,referral,referral_acq_2,Delhi NCR,iOS,high,True,62.23
95,2026-02-07 11:03:50+00:00,2026-02-07 11:08:44+00:00,google_ads,google_ads_acq_2,Mumbai,Android,low,True,127.03
96,2026-02-14 08:39:25+00:00,2026-02-14 08:52:16+00:00,organic,,Pune,iOS,mid,True,0.0
97,2026-01-22 15:01:19+00:00,2026-01-22 15:10:43+00:00,organic,,Delhi NCR,Android,high,True,0.0
98,2026-05-10 09:53:57+00:00,2026-05-10 10:05:37+00:00,organic,,Delhi NCR,iOS,high,True,0.0
99,2026-07-23 12:59:05+00:00,2026-07-23 13:10:49+00:00,meta_ads,meta_ads_acq_2,Bengaluru,Android,high,True,95.46
100,2026-03-09 12:10:48+00:00,2026-03-09 12:24:25+00:00,organic,,Hyderabad,Android,low,True,0.0
