search_id,user_id,session_id,searched_at,search_query,result_count,response_time_ms
31,58373,141064,2026-01-01 11:29:45+00:00,soft drinks,42,453
32,78861,190487,2026-01-01 11:32:31+00:00,fresh fruits,26,545
33,19761,47690,2026-01-01 11:40:22+00:00,breakfast cereal,44,396
34,62461,151012,2026-01-01 11:45:27+00:00,packaged water,17,463
35,2456,5869,2026-01-01 12:05:02+00:00,bread,14,467
36,3274,7810,2026-01-01 12:16:02+00:00,biscuits,0,487
37,66411,160417,2026-01-01 12:20:23+00:00,herbs and leafy greens,16,778
38,6110,14637,2026-01-01 12:27:59+00:00,cooking oil,22,549
39,33916,82093,2026-01-01 12:29:32+00:00,pulses,24,672
40,61412,148477,2026-01-01 12:31:47+00:00,namkeen,19,559
41,61948,149800,2026-01-01 12:34:43+00:00,fresh fruits,30,248
42,22927,55429,2026-01-01 12:38:33+00:00,atta and flour,41,336
43,34457,83380,2026-01-01 12:43:38+00:00,bread,0,557
44,4949,11844,2026-01-01 12:46:48+00:00,instant food,34,219
45,42027,101646,2026-01-01 12:52:59+00:00,sauces and condiments,33,422
46,20701,49989,2026-01-01 12:53:00+00:00,fresh vegetables,19,620
47,30240,73205,2026-01-01 12:59:19+00:00,tea and coffee,26,507
48,27953,67651,2026-01-01 13:16:22+00:00,fresh vegetables,8,473
49,15278,36831,2026-01-01 13:22:01+00:00,instant food,24,545
50,20643,49843,2026-01-01 13:22:23+00:00,hand hygiene,4,392
51,10846,26169,2026-01-01 13:41:12+00:00,biscuits,39,751
52,52790,127632,2026-01-01 13:42:18+00:00,cooking oil,27,468
53,19023,45882,2026-01-01 13:49:26+00:00,chips,37,583
54,1064,2515,2026-01-01 13:50:33+00:00,fresh vegetables,42,543
55,40162,97091,2026-01-01 13:54:42+00:00,fresh vegetables,27,421
56,50718,122676,2026-01-01 14:01:57+00:00,detergents,25,219
57,13659,33000,2026-01-01 14:02:03+00:00,namkeen,28,238
58,76949,185807,2026-01-01 14:03:42+00:00,fresh fruits,11,663
59,51333,124111,2026-01-01 14:09:58+00:00,baby wipes,32,443
60,42488,102736,2026-01-01 14:11:10+00:00,air fresheners,15,361
61,77374,186903,2026-01-01 14:11:41+00:00,bread,40,333
62,20429,49321,2026-01-01 14:17:21+00:00,breakfast cereal,9,712
63,44236,106968,2026-01-01 14:21:57+00:00,rice,19,641
64,39567,95706,2026-01-01 14:22:02+00:00,tea and coffee,8,548
65,27136,65706,2026-01-01 14:23:10+00:00,biscuits,0,233
66,59300,143292,2026-01-01 14:27:52+00:00,herbs and leafy greens,42,698
67,43882,106122,2026-01-01 14:33:04+00:00,detergents,43,513
68,21495,51903,2026-01-01 14:39:12+00:00,tea and coffee,42,710
69,16654,40185,2026-01-01 14:43:35+00:00,detergents,18,681
70,4754,11356,2026-01-01 14:50:31+00:00,fresh fruits,5,577
71,49531,119775,2026-01-01 14:54:58+00:00,namkeen,34,604
72,31090,75308,2026-01-01 14:57:02+00:00,namkeen,12,468
73,32130,77789,2026-01-01 14:57:06+00:00,tea and coffee,5,696
74,28488,68969,2026-01-01 15:06:50+00:00,fresh vegetables,6,843
75,6700,16076,2026-01-01 15:07:53+00:00,eggs,6,605
76,1777,4240,2026-01-01 15:30:59+00:00,instant food,22,508
77,58015,140193,2026-01-01 15:54:25+00:00,chips,34,264
78,70151,169408,2026-01-01 16:07:28+00:00,chips,18,415
79,14321,34531,2026-01-01 16:14:06+00:00,dishwash,44,428
80,16956,40932,2026-01-01 16:17:06+00:00,cleaners,22,715
81,26858,65000,2026-01-01 16:21:43+00:00,fresh vegetables,30,503
82,27418,66388,2026-01-01 16:28:49+00:00,oral care,29,465
83,30576,74039,2026-01-01 16:29:45+00:00,skin care,14,567
84,9771,23602,2026-01-01 16:33:56+00:00,fresh vegetables,6,634
85,65715,158791,2026-01-01 16:37:22+00:00,atta and flour,33,563
86,15802,38083,2026-01-01 16:46:39+00:00,dishwash,32,376
87,44071,106579,2026-01-01 16:52:30+00:00,pulses,35,572
88,66215,159952,2026-01-01 16:53:48+00:00,fresh fruits,32,515
89,42238,102129,2026-01-01 16:58:16+00:00,cooking oil,34,379
90,76042,183654,2026-01-01 16:58:44+00:00,breakfast cereal,9,171
91,23399,56561,2026-01-01 17:08:03+00:00,cleaners,9,416
92,65774,158927,2026-01-01 17:15:43+00:00,fresh vegetables,37,681
93,56459,136473,2026-01-01 17:18:28+00:00,atta and flour,8,591
94,69947,168944,2026-01-01 17:24:40+00:00,oral care,7,652
95,44034,106494,2026-01-01 17:44:46+00:00,soft drinks,39,423
96,63358,153168,2026-01-01 17:47:23+00:00,packaged water,43,467
97,35330,85509,2026-01-01 17:54:46+00:00,biscuits,24,397
98,73482,177455,2026-01-01 17:56:26+00:00,cleaners,24,462
99,33595,81323,2026-01-01 17:57:49+00:00,soft drinks,17,382
100,47813,115597,2026-01-01 17:59:11+00:00,namkeen,4,620
